use test1;
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Maria Mehserle", "1953/04/18", "6543746014", "Maria_Mehserle55669@yahoo.com", "xsaI" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Luciano Cole", "2001/02/17", "6210636264", "Luciano_Cole83448@icloud.com", "W7ZOsNxns" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Robert Taylor", "1986/03/04", "5743789377", "Robert_Taylor69025@icloud.com", "9GWtS7uSFKdgkb5R99Q5ASWb" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Christopher Olivera", "1953/12/07", "2481470168", "Christopher_Olivera78579@aol.com", "XUWpJtnZRV9N6DPUhrl" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "non-binary" , "Brian Ball", "1994/10/05", "1387652484", "Brian_Ball85034@gmail.com", "VepDjie5FsvGSg8mi" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Sharon Lewis", "1951/05/26", "2620753431", "Sharon_Lewis29242@icloud.com", "ibbezTD5E6" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Charles Martino", "1970/06/11", "6485346004", "Charles_Martino2549@aol.com", "uDnAp9XGh8qJCQ7gwqxDS" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Michael Harris", "2003/11/24", "6739852114", "Michael_Harris31492@me.com", "hdn5" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Reginald Johnson", "1955/07/21", "2961317749", "Reginald_Johnson74032@aol.com", "JMAs3Z7z8ciVQz6mtRy1qhhB" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Geneva Jones", "1983/09/07", "8327547157", "Geneva_Jones67686@yahoo.com", "pTDLe5R4cwJZWDzmvQoMMDl" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Carrie Hampton", "2001/12/23", "9172700134", "Carrie_Hampton28773@Outlook.com", "VehBS2ElQt" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Joseph Egnew", "2015/11/24", "6358712414", "Joseph_Egnew66202@Hotmail.com", "O6oM" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "non-binary" , "Amber Lozano", "2006/03/02", "6755381967", "Amber_Lozano46030@Hotmail.com", "CRDvSeMlo9QusbFWEF" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "John Wedeking", "1985/11/06", "9572807413", "John_Wedeking59886@Hotmail.com", "diWRUFTgWxZNnzlmy7w" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Laura Whidden", "1965/06/26", "2514045594", "Laura_Whidden18454@icloud.com", "xYCENJAoMSXJ6IyYFkrDTpB" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "non-binary" , "Maria Price", "2016/07/27", "7982333720", "Maria_Price22265@yahoo.com", "OlPFSi6T09Xfw0" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Judith Hansen", "2010/07/02", "8541493961", "Judith_Hansen197@aol.com", "foPwLcnk" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Michelle Stewart", "2005/05/16", "8850213064", "Michelle_Stewart50333@Outlook.com", "tZ6EJqexr" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "male" , "Michael Bivens", "1986/11/14", "8804756562", "Michael_Bivens7318@me.com", "wgT" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Patricia Sanchez", "1974/03/22", "7364348245", "Patricia_Sanchez70373@yahoo.com", "xQL8vi8rTSeKyWWe8XgJsgSk" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "non-binary" , "Luther Roberts", "2005/08/10", "6601416873", "Luther_Roberts40502@Hotmail.com", "IRfARiKVpRGwud3cdkX" );
insert into UserInfos( Gender, Name,  Birth_date, Phone_Number , Email , Password) value( "female" , "Elizabeth Winfree", "1972/11/06", "4131758861", "Elizabeth_Winfree93125@Outlook.com", "IlWcWBpk9olow0" );
